premise_code,premise,address,premise_type,state,district
21006.0,PASAR MINI SUNGAI JAN,"NO 932,,SUNGAI JAN,",Pasar Mini,Pahang,Jerantut
21007.0,99 SPEED MART ( TMN PINE),"NO 2 (G),JALAN PINE 2,TAMAN PINE",Pasar Mini,Pahang,Jerantut
21008.0,KS TRIPLE MART,"NO. 22-24, 26-28, JALAN BAHAGIA MAKMUR 8/1,,TAMAN BAHAGIA MAKMUR,",Pasar Mini,Pahang,Temerloh
21009.0,KS WALK IN MART (TAMAN TEMERLOH JAYA),"NO. 110,112,114 & 116, JALAN BESAR,TAMAN TEMERLOH JAYA,",Pasar Mini,Pahang,Temerloh
21010.0,KS XIN MART,"NO. 8-9,,JALAN BAHAGIA 7,",Pasar Mini,Pahang,Temerloh
21011.0,KUMA MINI MART,"7,7A,7B,9,9A,9B, JALAN BDS2,,BUKIT DESA SEMANTAN,,",Pasar Mini,Pahang,Temerloh
21012.0,KEDAI RUNCIT GAROK MAJU ENT,"NO 4, KEDAI P.L.B,JERANTUT FERI,",Kedai Runcit,Pahang,Jerantut
21014.0,VINOTHAN MINI MARKET,"NO. S 1/11,LORONG CEMPAKA 1,TAMAN CEMPAKA",Kedai Runcit,Pahang,Jerantut
21015.0,MUTHU MINI MART,"NO. 2 & 3, BANGUNAN LKNP,,SIMPANG SONGSANG,,",Pasar Mini,Pahang,Temerloh
21016.0,KEDAI RUNCIT PATHMAVATHY,"NO 3,TAMAN JAYA,",Kedai Runcit,Pahang,Jerantut
21017.0,MP MINIMART,"S-1,TINGKAT BAWAH,KEDAI TAMAN KOPERASI",Kedai Runcit,Pahang,Jerantut
21018.0,NIK MART ENT.,"NO. 40, LORONG JED 1,,BANDAR TUN RAZAK JENGKA,",Pasar Mini,Pahang,Temerloh
21019.0,KEDAI LIAN HENG,"NO 5,JALAN BESAR,PADANG TENGKU",Kedai Runcit,Pahang,Lipis
21020.0,PASAR MINI RIA SDN,"NO 3,4,5,6,7,8,9,TAMAN K.S.M.,",Pasar Mini,Pahang,Lipis
21021.0,PASAR MINI NORSYAZLIN,"MR. 13, BATU 3, PAYA PULAI,,JALAN MARAN,",Pasar Mini,Pahang,Temerloh
